,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23
"Adur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,1,2,1,1,5,3,1,5,7,6,2,0,1,2,1,4,4,7,3,5,1,3,6,6,9,1,4,5,3,4,7,9,5,4,0,5,4,1,3,2,2,2,0.863420217714304,0.79526915628233,0.764425034342248,0.708055214381952,0.674443129994943,0.673227347811216,0.646221393160958,0.624374580683464,0.586757275925024,0.574762974850523,0.519310254164206,0.540585055403507,0.523336541032503,0.535036219314834,0.52314564503835,0.503094383819279,0.532072713744859,0.507072130801354,0.509131132841786,0.431622712282654,0.394325196968515,0.373292360656807,0.382561973037765,0.358161837686047,0.382248082074528,0.356950617697852,0.378309157224749,0.363167139227746,0.365737580758444,0.361490339227758,0.352923513483496,0.338044663701058,0.315813138835012,0.339473560909218,0.358597831216036,0.346919359705563,0.313787937328024,0.281600805448084,0.312189613068166,0.306800127119774,0.313667827383852,0.328008032239436,0.313498263569716,0.295089920555024,0.292941192138762,0.274882577298858,0.284846566822348,0.280096294327096,0.288666881514508,0.302167452055515,0.280781369736187,0.290823275142143,0.274336884989243,0.27637199640244,0.306500530100845,0.295446048074342,0.298924164609699,0.27072002898277,0.247043684776754,0.262740712837989,0.25400580094042,0.253275412398314,0.254764808081654,0.275816127643862,0.280572310889466,0.295685092592661,0.316006996794805,0.305772792898699,0.314745471903913,0.308507652998108,0.317960945672408,0.314550899512011,0.313671612276225,0.294437620882534,0.285373777158696,0.295968778493538,0.29855575779795,0.295523036473871,0.313533677489118,0.303682214111927,0.328346864678828,0.33552176955376,0.36413905634672,0.383954433041109,0.37269593118807,0.374730291038021,0.3877129803416,0.417469882414971,0.451445694802867,0.423710315603297,0.448220482942137,0.477406216146294,0.470217156526273,0.49238712710253,0.531192647729716,0.570633964100607,0.591644764798886,0.555464959709099,0.545885570707046,0.547676407119656,0.555100558491862,0.549083837137793,0.536986273577939,0.57843798889181,0.557061206937223
"Allerdale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,3,2,3,2,3,3,4,4,3,2,4,5,6,7,9,6,2,2,9,10,16,6,6,2,1,5,8,2,1,3,5,0,8,4,6,3,14,12,10,9,8,10,7,11,2,1,1,9,4,0,4,2,4,1.9521775213331,1.58487238695767,1.59384694283893,1.66309003164575,1.76124787518967,1.75733454617717,1.6924958981955,1.50639287300654,1.42300585092796,1.28197514978858,1.1721600246084,1.1976287964095,1.18843548927964,1.06305392087626,0.910665430076123,0.854364047225557,0.763795543138823,0.758691657010191,0.744448168942239,0.74694503999514,0.753067367410191,0.720025296286992,0.696209456314669,0.641664975734718,0.692134552569012,0.670834871789793,0.700399252108901,0.643621988511125,0.652412834960905,0.6217223273326,0.632790421308025,0.617781535042876,0.581321932431257,0.568019644203885,0.585159863859588,0.546520079614282,0.51063025251284,0.51419673655123,0.537885480202982,0.560494930513027,0.55347218477401,0.558036995548724,0.566768815761576,0.630860086033344,0.652042886615441,0.656827227538879,0.667737385585711,0.62851961094824,0.568634255131699,0.605853722530083,0.628694610819434,0.62736188374952,0.626741600049158,0.644471699671528,0.588361498379871,0.672202037639521,0.715485408515632,0.783710579134425,0.842128777917891,0.842451214563842,0.883726152134153,0.936010274415336,0.933248942067872,0.972304133599096,1.00202513373047,0.975091683545229,0.954932445368075,0.987995998764574,0.991884407107021,1.03401974486507,1.08537001235498,1.09734302557245,1.15350779597806,1.25328064773054,1.3068238476946,1.28817775811567,1.2429663690383,1.35408414846525,1.37051444333566,1.4374859367467,1.37572699919071,1.40010428146448,1.39088312836936,1.37294281496456,1.33400566533141,1.387823489515,1.45110521766355,1.6342744135963,1.77425830642633,1.80606523450137,1.61192784891962,1.33954125022131,1.14469422581545,1.10324570703066,1.18240909493809,1.21970443413676,1.24488741134677,1.16847344293614,1.20082944274275,1.2191629724685,1.26291288727044,1.3577563597377,1.30556792493237,1.26196630518021,1.31622301461482
"Amber Valley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,1,1,1,1,4,5,1,4,2,2,5,4,4,3,8,1,7,4,2,1,4,2,5,3,2,1,7,3,3,7,3,4,0,5,5,6,12,12,3,11,7,5,8,6,3,7,4,2,12,7,15,10,13,3,9,4.38766747128624,4.96172411857508,5.44838993191654,5.53508268280988,5.45603341363013,4.87295111840667,4.3117751166797,4.00340697412911,3.92711266277713,3.83179068920937,3.83369454440539,3.8869321053408,3.99417118563374,4.01571003062665,4.10288130850658,4.12942081815067,4.12437519835047,3.92801363211419,3.33473980073593,2.76674984954726,2.39333857166814,2.0716431473938,1.95449752263975,1.71373664185274,1.69636992612669,1.67271178462766,1.5770712442521,1.62721772950513,1.71256895780062,1.82756449151914,1.84982393552617,1.65773822891233,1.51889427946994,1.48139216809002,1.33005865651055,1.20071449857797,1.13322240846186,1.12088136361387,1.04373615772014,1.10858805699709,1.16171409069585,1.02240417470993,0.98510933603747,0.92028903963475,0.860153743379824,0.854781789831308,0.84768466703036,0.902950985486438,0.981614316600836,0.953449381677089,0.875455821820181,0.853994225174966,0.884816215746378,0.92946636583187,0.948264506187056,0.893523761557408,0.846838640017665,0.786280080538983,0.736641589089129,0.791226409917771,0.809670521736606,0.768424496915725,0.709197577538149,0.679847539096177,0.685934602629537,0.681938805730987,0.736672928839817,0.729507175866884,0.837455475627872,0.783812779267794,0.702853504485134,0.627905779767566,0.574900533670681,0.564987430486207,0.591555544455774,0.603752151233834,0.604245597642668,0.610399549088865,0.585271920835958,0.596321553935481,0.628321213369717,0.65920511753244,0.666022820000121,0.66365567898609,0.693982136460056,0.711697755367122,0.728606111812736,0.762777365275742,0.784871803462823,0.755388475018211,0.731941692923361,0.780569904916492,0.863457024090337,0.874622756916425,0.878766231093208,0.85574218929329,0.731671345539893,0.674736495631873,0.657383252419041,0.690687470546321,0.705977964049037,0.766341805009132,0.781024960920542,0.782403320858415,0.825659652435576
"Arun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,2,2,3,4,1,2,4,0,2,2,5,3,6,3,3,4,3,4,5,7,3,9,12,6,4,3,2,2,2,11,8,5,4,6,12,1,12,7,5,4,1,7,7,28,11,1,4,2.27846294684035,2.47108708726231,2.46806563804057,2.2900869578357,2.19531208835554,2.02223052020134,1.77770010522067,1.56108644242087,1.53320031882777,1.49750445019819,1.39009270923436,1.28826434055066,1.19607088752191,1.22738518787554,1.24666831966198,1.21995736602477,1.20733851033894,1.16806275006909,1.1653147896226,1.10927596097134,0.988665112816489,0.993034057309381,0.90994996287738,0.83614858390928,0.812807428044575,0.769250685117443,0.726649083276565,0.716781114736401,0.668404424034542,0.638477497832198,0.644962505915861,0.690729861546055,0.685828425508888,0.632350078119414,0.594801151365127,0.573518308822855,0.54682676003246,0.553461659015576,0.572982530784364,0.58202763594821,0.520403546867125,0.499145203173447,0.471592067398361,0.422050199543783,0.404468874903503,0.416110633458952,0.42043821338636,0.434592744997348,0.420839646792569,0.42488227435556,0.458654985703965,0.46413437655046,0.480186537658262,0.485051491389051,0.496806256286785,0.521509508746128,0.51969000424517,0.528341491777894,0.538143335479557,0.558996686995182,0.57859914071388,0.553940150981459,0.516593457515895,0.548708074229395,0.550596063721402,0.566676640793207,0.571284530541679,0.602327837000816,0.625226886775598,0.60252735877223,0.556879481892461,0.524026935795937,0.51834283508039,0.537457911416797,0.562740993004586,0.585112563984168,0.607864497506298,0.645218217686396,0.660336513370712,0.676693799714508,0.727892823163853,0.698799096321129,0.646662051273884,0.617239171597843,0.648311536946785,0.650786223059876,0.70543396703572,0.757599979632075,0.737928373910976,0.739540173515604,0.699321465093284,0.634088263678236,0.601793013867954,0.629275282837453,0.648549584869213,0.717097979783182,0.733163372285168,0.750846839884612,0.713348327289823,0.689378929469054,0.66735332172938,0.657793116653806,0.729746861403887,0.711201402591299,0.705430644618506
"Ashfield",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,0,0,4,1,0,3,2,5,8,3,2,4,3,5,10,4,4,6,5,5,4,4,4,7,12,7,17,12,14,22,12,11,4,8,16,17,7,8,8,7,8,17,9,11,5,16,7,4,16,7,6,4,2,6.32107721761223,6.19490543945347,6.07641978976124,5.75695727750655,5.24220552146334,4.51153860663831,4.17798909286906,4.29837835867004,4.72508990164298,5.02377377090212,5.29198808756802,5.43941352335848,5.4487688070712,5.18260309397746,4.14234592213804,3.82727389055381,3.96695147294726,4.03381821648525,3.79083844572279,3.40994346692891,2.94938948096334,2.07709261358435,1.71741528368705,1.45059713587869,1.40026119336989,1.4012229549983,1.34351415110834,1.29486971513474,1.19694353154411,1.05861721664424,1.00592125248525,1.02184202582322,1.06753293093133,1.0639671151558,1.05760221104068,0.931118209440215,0.924224379935951,0.846302148028478,0.815400064788322,0.806375062407304,0.900796020608384,0.905256210808506,0.979258630752407,0.928541118567155,0.930597593391272,0.914339194079132,0.943820666702316,0.87994261602677,0.836214799258338,0.802980418758603,0.783363400821681,0.722922172417579,0.730932840132127,0.764026904565217,0.752983519125181,0.836830477516573,0.777815652072011,0.752993180761956,0.745742191088933,0.721320144147518,0.716056377105643,0.728419323542597,0.624658745366129,0.677297948745778,0.707999147754142,0.739593323256727,0.771580917598202,0.75297785623436,0.738636262282129,0.726363737826286,0.692613716104104,0.751415786751535,0.714412758904617,0.72985765503932,0.780401924695204,0.795682078365945,0.836714939372148,0.88805505471905,0.868388793000851,0.951556415709789,0.967331265867257,0.980621807145687,0.955812417814206,0.941639872587787,0.94579722387589,0.997117279366781,1.0695980074956,1.21591042129282,1.30335837643053,1.35578267029204,1.30279111493915,1.05498187334548,0.981748540984435,0.895607355885127,0.912115143338086,0.84246574234362,0.803928216811128,0.859829478679473,0.949176841557055,0.91462278802423,0.980978996983426,1.04597208373916,1.0257581041013,0.973022367700015,0.970925460131172
"Ashford",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,1,1,0,1,6,1,3,4,2,8,5,6,13,12,3,3,8,10,20,8,13,10,16,4,19,7,3,28,29,36,15,15,16,21,33,14,22,28,13,25,13,35,30,13,21,16,21,22,21,18,12,11,7,18.4839801455669,17.6484650827628,17.8400442034169,18.2843641892581,18.2417297920025,16.8124328663719,14.8137290782269,12.0565648108613,11.6863704315808,11.8848628373382,12.1617772089807,12.0882038294599,11.4201003601074,11.1064698828498,10.9024605470791,11.2805544558826,10.9848414432874,10.3431387967224,9.5230886797554,8.72052210628928,8.12992782597146,7.66258711657871,7.44470661771416,7.08989787180953,7.36828120501914,7.76479970841167,7.88500603779519,7.45993859216354,7.6537277241801,7.92577284137772,8.0023515158595,7.78351132794989,7.44161881441823,7.38654049091467,7.22633024453985,6.6250961182129,6.3505436356545,6.06237333315786,5.67350305614312,5.58811419995565,5.59511318478651,5.44088649817074,5.16604775096976,4.80112337679298,4.77245042684716,4.76695681506714,4.90675538447017,4.66177905926893,4.4016696643978,3.86879067337186,3.51204827136432,3.37593428449552,3.17743905318089,3.12629561437117,3.0560780223576,3.01903566198777,3.05569139553464,3.19324625452268,3.21077744076884,3.36596892952008,3.18789397852653,3.08484153836371,3.21504659928279,3.24086370196137,3.18607287197497,3.03376030295705,2.82870287285748,2.72769689519831,2.61888334132021,2.38051403604365,2.04377857609885,1.87954763011084,1.90602001670785,1.88135109842237,1.76087694145777,1.58010698686367,1.48148073935016,1.32633735016336,1.31334915234394,1.30210232041872,1.4179492160268,1.37062241954155,1.22891971335809,1.13630872693101,0.933998073013361,0.816247434294439,0.792135736572443,0.893719519912796,0.912569662589461,0.999111997826,0.938621000458362,0.859556609791288,0.798188296533192,0.763194414536021,0.723632668501494,0.702972093757047,0.667870441160285,0.684689912583433,0.713555973853351,0.736492239213819,0.78247289181481,0.819151758978033,0.850783867403258,0.889902680850852,0.867667022211878
"Babergh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,3,0,0,1,3,2,2,2,3,4,3,4,1,2,3,2,3,1,1,2,2,2,1,3,11,3,14,3,6,1,6,10,6,4,2,4,8,4,4,10,4,2,3,2,6,7,1,1,2,2.95511613454691,2.76242212617553,2.77406573111183,2.72349328465155,2.71281124160571,2.61559588110847,2.57845830905909,2.17527008516495,1.90762280555429,1.82563329697401,1.73019708420587,1.78729183155742,1.74959560536976,1.73785843498742,1.61351077523439,1.69736769039663,1.86844489297754,1.78811914359823,1.56730079478153,1.39875800217573,1.17328559183327,0.937458088442611,0.938501305510885,0.831616309348144,0.722455133688393,0.684772145939426,0.633732409883987,0.593963766099682,0.58556238387925,0.581264592290199,0.562375114000688,0.601205890853516,0.554839769190503,0.529677433275021,0.539162944520086,0.531549881808383,0.570477809930615,0.564094628448648,0.596583480927542,0.549341652633483,0.511172462974635,0.411336455487255,0.405305562363937,0.392909682788701,0.370772567330639,0.375405146085141,0.376428231068746,0.365231750493306,0.385170941606921,0.363299403369049,0.356632760019824,0.368892193054555,0.384783207850056,0.371625324872188,0.354100043267173,0.384007813747436,0.41073690569017,0.415870571033724,0.487631227533839,0.467353393527401,0.48097324595858,0.464694476267887,0.449939373059813,0.470107204121854,0.519030054385232,0.540134737754484,0.602473300167536,0.589541169280478,0.603842494661596,0.549939929321141,0.546701079203144,0.550438377874632,0.532719338724129,0.529823490451961,0.579060123262302,0.578331811784455,0.589407045017828,0.617167744745929,0.65770310290414,0.694345271178289,0.660671149233721,0.688253703081777,0.650600761905932,0.643090289650556,0.523520694341431,0.476459023433731,0.459207734648235,0.474292563551233,0.477015439636294,0.454548766342968,0.428813808379256,0.434331730469556,0.434579578387233,0.410003947940717,0.407819748142621,0.430746620428898,0.44152672750998,0.451676715499635,0.462204645331797,0.505439494062537,0.525118875606015,0.520912802495173,0.523803000578617,0.509331042216801,0.546124834206731
"Barking and Dagenham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4,1,2,4,4,5,5,4,9,10,7,11,12,11,7,12,11,11,11,19,22,26,18,17,19,12,22,22,15,11,9,18,18,14,12,12,10,7,15,7,14,9,11,3,7,10,8,6,7,5,11,6,8,4,6,4,6,6,4,7,2.12156789597934,2.29944318616112,2.49975911343999,2.71370174797172,2.90488741548767,2.61607801560975,2.31902627614487,1.93481066547971,1.79801296066584,1.84473838593473,1.79790454725016,1.72617313858965,1.58689689770627,1.37699056404754,1.23733211861409,1.25321434817351,1.30171258385527,1.39936075222163,1.44906996723558,1.34912408214063,1.1754737897717,0.9589706204379,0.929942831044222,0.939277456748449,1.00118419257984,1.13334586351632,1.16149721857494,1.29164193339101,1.42685746033232,1.37425163584406,1.13934222238039,1.13029097115399,1.03600339776133,1.06437409725986,1.09806979255298,1.15263982413629,1.18918001172308,1.47002676805828,1.52469486377657,1.59941360930443,1.61280367310164,1.57612886374555,1.51628466027796,1.33499750996449,1.27426639038441,1.24389709988935,1.19971369011177,1.0940906348621,1.00377424031548,0.962453828769783,0.940591843223619,1.0491968236886,1.09471679637869,1.28995962893527,1.35406823711992,1.30941246981458,1.37863300650741,1.38120104533597,1.54807723775924,1.64749755985471,1.82355688853198,1.76740826534895,1.65083579320965,1.70307827077224,1.69195703319745,1.86217946781517,2.02521399872599,2.22602570052677,2.35184248339724,2.2160593813655,2.67790535410459,2.86065596266469,3.39173257548906,3.86347182161595,3.89940125217309,3.54244538181998,3.03082204319618,2.57643489529406,2.43954134715598,2.54921051089292,2.77460423318145,2.97081341610033,3.01523991887787,2.82805345152611,2.99245033522572,3.23975291924679,3.61726818323161,4.06783866796069,4.71242800893012,4.97980138829539,4.5595642638909,4.14578714538084,3.86425327494546,4.15031878599842,4.73424508015696,4.63163453079927,4.61357777108412,4.59825741084813,4.73875992244222,4.81347636356765,4.74183376069539,4.56277895502083,4.86349380377837,4.85749746436187,4.87356781042264
"Barnet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,1,3,3,11,5,6,6,10,11,7,14,26,21,18,26,31,39,46,55,54,34,30,42,48,37,65,37,38,40,37,45,49,34,21,20,18,23,21,24,20,21,15,21,14,27,11,19,17,11,17,20,25,17,19,10,9,5,12,14,10,13,7,5,8,5.15893867238975,5.44717996440841,6.45827291505292,7.03454279486493,6.6589584265443,5.46866423361685,4.16084797554635,3.16685853447623,2.81287876277839,2.9475245216483,3.36261204003336,3.73552618323528,3.79824080134731,3.11894468045665,2.50161984013357,2.08820543436021,2.06280545656404,2.11918866132162,2.16726184283532,2.08292215994629,1.88982894456077,1.78470086311882,1.72660838378308,1.60852805473751,1.54898094658419,1.4749733678152,1.54045498058834,1.51611023650066,1.48430387892175,1.46453165211589,1.49592832501703,1.51158493206968,1.41609442683961,1.36436579492297,1.19483822860251,1.14051045334242,1.03813195537043,1.16548603664926,1.1493118318977,1.25995012391377,1.37861071720839,1.49705903492145,1.81234318199858,1.69500568883778,1.66621051303033,1.84855747254675,1.8939202669201,1.87340616674334,1.92830113955226,2.15985275094787,2.23590085522228,2.22452761025481,2.25229733700977,2.30361211918639,2.36114430962521,2.46337592937138,2.99764728953463,3.14074977763921,3.44137321588351,3.74534384351791,3.45967223835018,3.16916899823213,3.11722967825029,3.23853918003473,3.42182209655556,3.39821845493003,3.51012696362873,3.65568713321804,3.95198939012247,3.98538421555111,3.87844212975952,3.86377047567513,4.55848634205953,5.41563578270704,5.84135119063679,5.65444944439718,5.07306212151238,4.67397223665789,4.37281051938476,4.37672223329428,4.31731540336488,4.48004056419795,4.95532840224748,5.39169472521473,5.86157935115262,5.49693684164225,5.39957336819477,5.82267365983786,6.83785278674822,6.7947449288397,6.56237547542624,6.35737580343957,6.39240350022975,6.82116750086618,7.4640503262444,7.91768096814367,6.94948676477358,6.30707637864565,5.75109469589243,6.07837995241764,6.3359839646468,6.16301741158234,6.53299073756518,6.51627762368779,6.45593524445407
"Barnsley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,1,0,2,3,5,1,4,7,13,16,10,21,15,14,13,15,33,26,14,9,12,2,13,23,16,19,25,25,21,33,28,13,12,18,16,29,23,14,34,22,16,25,19,29,32,36,29,36,26,34,35,13,31,16,14,13,25,25.4544015339825,16.4093396783193,12.9519637595122,12.9384924118263,15.6599916724795,16.3694225423677,16.3988915661899,16.3909603040948,16.2450034040964,16.4995243214075,15.9454161498654,14.5345684188914,12.720641617253,11.978926342373,11.812005085956,11.1201749102421,11.4209316934964,13.2334688500073,15.2337938522589,15.7871948274067,15.5399681276814,16.4127521502042,17.1591961985691,16.8610655487081,16.0285154945299,16.2255356010709,16.6308266679918,16.4936661356479,16.0690392488394,16.0528446428918,16.7162276498439,16.8538607359274,17.4882685571111,19.039232243917,21.300276216548,19.0077606777347,16.6960436186744,14.9346392424297,14.3447678549251,14.2795197613918,13.6592361722017,12.5004493843045,10.6407323148315,9.94502596816373,8.92733932892877,7.93911862787117,7.72495368616046,7.20051154090894,7.15798878716407,6.47622543930232,5.8313478857047,5.0170244780588,4.92769426283723,4.47323304863701,4.29598958607939,3.76123573801765,3.99668026792977,4.37676679706733,4.19317305512218,4.07363757911309,4.31837859932552,4.85879533962647,5.00917928710962,5.27698967058637,4.87039237123205,4.25310147206756,3.36653469478547,2.60078564022568,2.63086689597298,2.72343372148982,3.51876187320006,3.70135891896198,3.95972879539939,4.61431258141837,5.16855277882456,4.97582257185676,4.61042251816352,4.19555068994211,4.39086250817251,4.71006325882772,5.16693482364166,5.32116852537927,5.43796063885184,5.74902917299718,6.03214719854665,6.32169709395459,6.77410657184788,7.3286549726014,7.81036090021618,6.74989805381893,5.6934242661441,4.41732756221301,4.16376507576673,4.09728980900062,4.26537745418916,4.28572202775663,4.02562974473017,3.43849789585648,2.76589900099022,2.75437617745045,3.11191326080725,3.62557909277402,3.97307897673378,3.9281385417256,4.0328970822262
