,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23
"Adur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,1,2,1,1,5,3,1,5,7,6,2,0,1,2,1,4,4,7,3,5,1,3,6,6,9,1,4,5,3,4,7,9,5,4,0,5,4,1,3,2,2,2,0.196297829095855,1.68796232473215,0.969476205474843,0.918528937182729,0.959933204054984,0.292134355389241,0.403981889782917,1.12635735170385,0.382492451630952,0.510304134675144,0.446040708600845,1.90332012446272,0.520620654344963,0.632404850676206,0.0460054568382313,0.785486824096435,0.949351997427978,1.57725319605953,0.497697918446226,0.500071358555314,0.16407243050895,0.235969155940202,0.382430537377441,0.158282908402374,0.171154290457767,0.282839209803214,0.648910789930447,0.059419813893763,0.410074714672066,0.441634218005026,0.142202334577038,0.115999568907189,0.65139509251266,0.256511979526949,0.426861036179105,0.188937293719284,0.0689397663566229,0.20406437884044,0.115619809584241,0.0334175854957144,0.235041573887748,0.0507704032553995,0.0678779537574092,0.0958180052477253,0.425928054168497,0.166590377030681,0.069230871310967,0.243398349419073,0.260610593607913,0.326572124290507,0.230644928007829,0.268229514527586,0.287419358059099,0.0356506821165011,0.374968226184916,0.101565474420659,0.130399740098734,0.397646483222818,0.133437995941378,0.0888351386747323,0.127953963324559,0.083935032183686,0.371873734456242,0.0492714212546103,0.309690028786409,0.397709181641686,0.334522547462967,0.121023880955685,0.02783609966665,0.29347111629704,0.122706643289174,0.176983429295257,0.0342081388536776,0.29155666268773,0.416019125368113,0.0127517154352943,0.141480087052259,0.626838586223229,0.145589517730401,0.0624722122659149,0.389810151677301,0.0565495193051093,0.035770849898334,0.0205982837891506,0.533810275648926,0.827114062348115,0.156026995733626,0.76402937047658,0.464185304912037,0.329685560851477,0.338284622843386,0.172486045211725,0.275179456678963,0.392368793332295,1.26017952628606,0.610086921468189,1.14510889763764,0.624053735117492,0.0455964096248452,0.450630307015582,0.0396498482296189,0.403111890398845,0.477150238745436,1.01163751704727,0.579817886294585
"Allerdale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,3,2,3,2,3,3,4,4,3,2,4,5,6,7,9,6,2,2,9,10,16,6,6,2,1,5,8,2,1,3,5,0,8,4,6,3,14,12,10,9,8,10,7,11,2,1,1,9,4,0,4,2,4,1.85263831740506,1.56174422585273,0.678012128530101,0.607259546335885,1.04663297817612,2.00694067283414,0.6202999209339,0.727870337101682,1.30826576231173,2.78302929790079,0.812345496078822,0.194777059272017,0.759305279814799,0.85950365633316,0.758883569369581,0.822824105981329,1.14540794056087,0.787865209322576,0.410332531912299,0.348470189328003,1.18621709635407,0.112010527200439,0.42954116975692,0.140669381851446,0.825200650106111,2.67533368095253,0.757406853499445,0.296084395105601,0.422568298263621,0.116136458942608,1.71888418052626,0.425339349002311,0.0108129932489666,0.573824874840792,0.654142779365309,0.317002711497134,0.269601484122026,0.330621643343916,0.0193293637156752,0.226485065374056,0.600396491098238,0.696816003270253,0.377402179794648,1.33272227352597,0.235583915559686,0.153209371748369,0.733269346047135,0.614772604199793,0.885133933371192,0.358709301946146,1.21418369539383,0.39266579461047,0.800618903092527,0.0868022132669616,0.0205094480608881,0.137649286146144,0.526770915865441,1.2472435679002,1.79587294592563,0.468820284315685,0.448181763727082,2.45298542296312,0.343922254935642,0.500244732327099,0.46080748424989,2.0278082496448,0.470900149653885,2.68090271555987,0.665422280945481,0.618771808067965,0.89846905645809,0.0853018981567682,0.62441522027263,1.81510813289343,0.996490703171577,0.191927396043299,1.02960294004555,2.25248621673046,1.33035136596664,1.87801276148636,2.26669056288629,0.464775603324669,0.422603024942974,1.60834650147673,2.56031614536795,2.65493716720169,0.466929841991736,1.15263015925505,1.0696871031545,4.08978459611582,4.18080013608346,0.592041547386248,0.799321270417992,2.42188794818376,2.19237775707301,1.29993693260372,0.4364592432447,1.65456196114458,3.61931307301945,0.132482356397249,2.64458275170028,3.03623387312352,0.329798134732357,1.26551787051061,2.21633195407432
"Amber Valley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,2,1,1,1,1,4,5,1,4,2,2,5,4,4,3,8,1,7,4,2,1,4,2,5,3,2,1,7,3,3,7,3,4,0,5,5,6,12,12,3,11,7,5,8,6,3,7,4,2,12,7,15,10,13,3,9,4.53315533030605,3.61693468363885,2.33844046673773,2.91154100154386,7.90740795445987,9.42730619676989,2.17505082642631,3.9106662262221,3.48257806334629,2.58674397690001,4.98811272680048,2.17655602875892,1.27606894638824,3.63892497612678,4.17484022902161,3.75113855202315,3.12814957352619,0.213673412518719,0.533133163920287,3.37029005349705,0.243224429753463,3.8417858176962,3.85551799638846,0.784505715663064,0.886788011697053,1.61643847080787,0.893194347371858,2.58099914559377,0.320878592154094,0.782187240018287,0.516493510855369,0.487888277172391,2.64188837515942,3.04298565534177,0.0567390554776636,1.89947686649283,0.433931612490668,0.110735053792537,2.59516526386432,0.5419247823277,1.20136261143069,0.450905865351941,0.717055982250336,0.44716274650691,0.508342928377111,0.406729518449115,1.00732052368472,0.171790179933348,1.52002188280477,0.0820938463131356,1.21020754612625,1.29051766235397,1.41005042228767,0.277030843325004,0.29625938313733,0.137084944371171,1.19222911887251,0.0102748674109974,0.826816375341096,0.828376814287764,0.562753012289123,1.61933775816518,0.698673169736545,0.366003975324343,0.820278036331839,0.230587223346155,0.253026245077909,0.153434927510363,0.307931313023897,0.0830879507106817,0.973161250220633,0.539021540950018,0.305005202153301,0.819633522313154,1.28350461369303,0.973419294960794,0.164398082761418,0.538577569995619,0.0200972735097938,0.184928000327148,0.0398146399400434,2.1021232451153,0.37447851862499,0.217773274530764,0.346187789300321,0.55200497260411,0.579409239874162,1.21215824108225,0.790805689742205,0.0355293082824175,1.06171873199932,0.670939676118359,0.447225380177886,1.18815141588096,0.296164144169458,0.0373537991846652,0.469853987615732,0.372465901959717,0.237235854107157,0.933941291569187,1.14730720561537,0.210292955689919,1.3809588534233,0.0298159277584614,0.88796198162365
"Arun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,2,2,2,3,4,1,2,4,0,2,2,5,3,6,3,3,4,3,4,5,7,3,9,12,6,4,3,2,2,2,11,8,5,4,6,12,1,12,7,5,4,1,7,7,28,11,1,4,1.53754438041383,1.76263293555846,0.0100162761185007,2.21904965345616,1.35903736255324,3.68003336529941,3.80854431650656,2.40184879268568,0.0565382885423585,0.834243779024095,0.429554196188687,0.0348429188681738,0.541695775420472,0.411080936235295,0.314463061522831,0.998766224636247,0.811352273253109,1.99010717549439,0.296900494534472,1.888000468529,1.40169704879573,1.1253389660338,0.287332541965102,0.84509411547452,0.189487166693207,0.349830983315453,1.07084542896092,0.591736640864982,1.08821950438005,0.863669143999334,0.988379521776551,0.0322619929615281,2.80210130226704,0.0149798840460007,0.71269840385571,1.42249228622502,0.348932582868713,0.92957308935609,0.358537275686166,1.74357819671438,0.809403489504649,0.257851759708061,0.146748651107094,0.125659497912207,0.836698124782356,0.4764958705495,0.036786653097429,0.561466358960204,0.550908067366421,1.28608240340612,0.275731460689339,0.425649410622836,0.968201148670495,0.42489007962273,0.748650718076686,0.511518148349868,0.561502810116583,0.881337148188447,0.533846504724911,1.02535023736109,0.706796874950587,0.258238707041287,0.0532008285872762,1.31152683173809,0.366027865944004,0.503329292877027,1.02133956998189,0.879304435219221,1.71352781213879,0.388534059183517,0.306775580682223,0.654931608881582,0.214476128093209,0.125253405216482,0.592776889529048,0.0129269908482336,0.178845600350905,0.931938150045411,0.619611402632884,0.0350500714978973,1.05451506799687,0.950441685197093,0.114845215636982,0.577242919432569,0.185894795269576,0.202956111954372,0.528528135819294,1.0351422111731,1.03400470244399,1.43140089968665,0.423281587039234,1.6625429928405,0.315677018615787,0.645898347535157,0.0460011608366405,0.973135957310561,0.207920121491877,0.368419040008616,0.846829009903206,0.295296117125603,0.0327757841352076,0.897023389121762,1.03970338408791,0.949536937198714,1.1649577323312
"Ashfield",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,0,0,4,1,0,3,2,5,8,3,2,4,3,5,10,4,4,6,5,5,4,4,4,7,12,7,17,12,14,22,12,11,4,8,16,17,7,8,8,7,8,17,9,11,5,16,7,4,16,7,6,4,2,6.55518630965669,9.80590459203495,4.6188367765419,8.06126227109114,5.74428613333106,4.45624119417448,4.64341384920416,0.789259718794839,3.92070179042457,4.85600610478937,7.52461853575148,4.93156935050805,7.18635288353402,2.71234466700097,3.33385076068266,3.28522054812914,2.28351316806937,1.21794060603599,3.4068002470306,6.04780629540213,3.65419427423269,0.216278480622355,4.4219725651798,0.865520465485419,3.78835943417875,1.05286357803089,0.764773089323252,1.00228428154497,2.34815134031104,2.2154094528636,0.369395956846517,0.685927470494379,0.510846645304301,1.1033279888996,0.689946069227668,1.05188166227438,0.987903294854607,0.740995208511825,0.155031978585565,0.433405757529057,0.769341760741416,1.31258809373117,0.952834601733217,1.84052873246635,1.01322496341439,0.567598736106065,1.42499111981626,0.956804056790116,0.541976694639099,2.18746963699674,0.130328547370282,1.93340986508351,0.615022538422647,0.425963349153195,0.631492185792051,1.33742748491934,0.0271965208091912,0.435496178398033,1.07374634843313,0.0847154954448233,0.343987347138983,0.820247814740487,0.165762732659383,0.160467566679503,1.49706139578547,0.0581474683549392,1.82760603071134,0.259695500290562,0.113317568914672,1.1777806145774,0.945556578732536,0.128562398901901,1.01306308238211,0.282846028036707,0.937217610550568,0.540921473451327,0.655062290236851,0.0373794949530327,1.45524679431882,0.110957110692966,0.321808741942465,0.652617954809894,0.223020430564679,0.866955869918438,0.173723284568884,0.66639173413279,0.358438047877435,0.589556284596592,1.79299423609906,0.779910127150372,1.30975275303392,0.262955672399367,0.588645422345658,0.247445942495733,0.930788580730985,0.912101533070145,1.33254026402904,0.135211953874699,1.44812728264892,0.16994255683624,0.146583588762401,0.570535641339637,1.10210214451132,1.20702272356826,1.19660921184376
"Ashford",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,1,1,0,1,6,1,3,4,2,8,5,6,13,12,3,3,8,10,20,8,13,10,16,4,19,7,3,28,29,36,15,15,16,21,33,14,22,28,13,25,13,35,30,13,21,16,21,22,21,18,12,11,7,25.4183024479396,14.4209147670875,13.727635088994,37.7902706964156,20.1767179540305,19.635071619349,3.91331736678703,16.3827818952849,14.5385906505694,22.8052037399149,10.8263683979619,7.64718079442122,17.3990637380647,7.75287392337666,16.6995311579734,4.31355606968659,8.75651251500897,12.8186653729374,0.677321627947338,18.3989285158364,7.97087251103105,10.9376127914342,8.79275864707103,3.8005507033641,0.764731625314031,15.9053385612784,13.9163416287926,12.3018617619165,3.04342101125184,3.93290224994224,8.0692778379065,18.1562532923598,0.446434486319921,2.89021867536593,6.98360545293502,11.2216657700485,15.1619041831126,2.27100020133868,0.540754926076882,8.54454170418754,0.0251854581582418,5.67585102989166,1.45609359224192,2.11450276492583,5.90904772976955,2.18509723175392,1.19723230355404,2.45127905622834,2.44179798418387,6.44538556952181,0.214254794085864,6.66066929958113,4.851786288736,2.47153856446954,2.40399873152894,1.16353408764891,1.49563508716025,0.974495727344912,3.34698082634821,5.54496422812461,4.4159097524964,2.60866428445219,1.46248073742774,3.99273834016746,4.58039240871955,2.46594050395872,0.999504595895556,0.888169557823596,1.15969482179572,4.62414460115504,2.4572605490698,1.60752739850228,0.140291045946284,0.914002820259759,1.97632265208944,0.210886483073713,2.27104221231591,1.29306224548964,0.835398334041581,0.0936567986101746,2.32588290608284,0.0118866868059021,1.10920404930527,0.853485316840233,0.243957026725059,0.575540429631062,0.577735557510006,0.25120327357131,0.769597951013635,1.48020285856331,0.171402415541553,0.176212642380488,0.135245228948494,0.479182148506026,0.184591843638519,0.411287056416409,0.994984396895453,0.928236712562427,0.272248186198879,0.417937328415817,0.612841073505437,0.0307737707826592,0.428863468117165,0.776699359699159,0.367205457007001
"Babergh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,3,0,0,1,3,2,2,2,3,4,3,4,1,2,3,2,3,1,1,2,2,2,1,3,11,3,14,3,6,1,6,10,6,4,2,4,8,4,4,10,4,2,3,2,6,7,1,1,2,1.41224983282768,2.24954907865638,0.583012879656214,4.08605263821697,5.32308632256171,2.88156408067022,3.49792443196635,0.610944451962055,3.00055028913938,1.76345224065286,1.09229982897038,2.68038440021244,1.39892513954926,1.92714683677746,5.76467069949178,1.30246451142861,0.0871258114049576,2.69920073387786,1.5832985271428,0.7156970349099,0.375548699258595,1.79627441383133,0.193830546622776,0.253296754153857,0.262422876119143,1.39404342205328,0.0960605925340976,1.15746078176209,0.0157891897806329,1.16694428834907,0.132144177544837,0.467468039693011,0.0156041645011466,0.664941011985564,0.0439113356522292,0.453907059416343,0.743664534605216,0.72588463283716,0.399898785618977,0.859623610965347,1.24504041833488,0.271239484831664,0.14778868673211,0.204164215506435,0.404565540314235,0.188884367756469,0.584775660834808,0.229915925605684,0.115019059505404,0.24412514113264,0.222269449240881,0.231775702201502,0.0541498912782344,0.425165990069643,0.221771555896169,0.0414331269586945,0.0167476937308692,0.253186682311756,0.638368922656748,0.237995540252628,0.373529059751415,0.59459209033669,0.287616237976128,0.81914510316217,0.228991544889631,0.104881161802651,0.404131395570978,0.604937951355558,0.289336826650001,0.564075108415503,1.01503417631459,0.374618364395137,0.0412329810140846,0.347680936498107,0.178756151770864,0.134789953345847,0.781450604232274,0.300127074771166,0.329156128188011,0.0395104357555379,0.738819916196147,0.123428686539418,0.485232137587559,0.432862457021213,0.523431161806421,0.046199496066475,0.242786827708235,0.485717307083982,0.280090660138795,0.0699929222317445,0.514465703355852,0.627063823712471,0.701980334921357,0.215875835909797,0.413175362586974,0.0959557087082338,0.627857966744029,0.685172443409394,0.558763446591255,0.50302045897531,1.13133690248746,0.329779256128003,0.587990148852183,0.46237102223115,1.51835466414613
"Barking and Dagenham",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4,1,2,4,4,5,5,4,9,10,7,11,12,11,7,12,11,11,11,19,22,26,18,17,19,12,22,22,15,11,9,18,18,14,12,12,10,7,15,7,14,9,11,3,7,10,8,6,7,5,11,6,8,4,6,4,6,6,4,7,2.50059683756301,1.15773771780868,1.34669352973924,3.07887145364719,3.9330234203356,5.68644695496177,1.48742819054681,2.20843546046654,0.35729194134446,2.32593178092087,1.27627047581747,0.944194807935166,0.480538257165578,2.99669260927326,4.19890715605979,1.68926209075838,0.803805263602409,1.00940074762163,1.39705345889833,0.77009198808093,0.583323535078925,0.212168353731555,2.41807849050976,0.773684112535869,0.271998014362207,1.22407761433108,0.834419678972603,1.3727938029527,1.55002931218348,0.298964439271484,1.75423669170121,0.51948410472434,0.403774722621319,1.09780252648825,0.55399688339995,0.181411665517533,0.558020036982996,1.61134210986388,0.52970303463018,2.17020375072345,1.89031111229277,2.1777884639322,1.33511012076035,3.66446899673104,1.65894295503506,0.344475884136906,0.445209964794169,1.33704817586271,2.22318493681695,1.51037466646053,0.491261808629295,1.75409623341372,0.976388628058905,1.97587107007242,0.175125763523649,0.655606140734171,3.1116095386543,1.62570941157069,1.39630813198668,1.38159782641433,1.85456208256395,0.764937559266467,2.2353627998973,2.41416718311196,0.142096701951481,1.70276984368667,1.37661246065111,8.48326639865243,2.6567374115829,2.94975701065529,3.6510830063204,1.25477228878174,4.57120002999863,3.84751006374841,8.14561876417259,1.81516148964936,7.41252295498109,0.977644410939667,0.70978765994351,0.733047789563809,1.30043375492375,3.38553880943876,2.2350789830103,3.65745652441023,0.786816339963408,2.03279720476356,3.99815230202954,7.82494960056099,4.18383218013977,3.09249073216188,5.77545027526338,1.98043533034943,0.0623266422328459,0.5946973026699,1.56129308042574,3.60268901304277,4.9868499719765,7.60031008841962,3.32766429021456,5.42425914140455,3.53728861787983,4.35123927959889,2.88399641116475,0.82701356155512,0.694196854634914
"Barnet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,1,3,3,11,5,6,6,10,11,7,14,26,21,18,26,31,39,46,55,54,34,30,42,48,37,65,37,38,40,37,45,49,34,21,20,18,23,21,24,20,21,15,21,14,27,11,19,17,11,17,20,25,17,19,10,9,5,12,14,10,13,7,5,8,6.63410213440808,2.23227240801577,0.692035595351246,8.11905952020362,10.2758529174164,4.57143545373324,1.67315210643328,0.0188811735861793,7.16026437956548,3.08030558775979,1.28951476542165,2.31046150399525,3.95297318401247,2.91930992023288,4.71693390827158,1.85500451473843,5.0664230406052,2.98054977429919,0.233034972469654,0.295131098458021,0.534469948724771,0.85924453287213,4.04536453982271,0.603523022514802,2.04004245791991,1.05632988636924,1.36548547348966,1.31672683249823,0.315610430906619,0.581555931783627,1.82072528087692,1.31042544093496,0.369440694819188,2.61445649001949,0.273926846738393,1.87312799928517,3.69713358801651,0.347306259281656,1.18343744268202,0.409288315888081,1.33122234110088,1.72152854624782,2.08709967932321,3.73433325751673,0.882472174904442,1.03030386479734,3.02410486159855,2.96529225623451,1.58370200867558,1.06431039709788,1.23061182395351,0.0305168533187889,0.550810016444363,3.93308046813754,1.88521711488441,0.351477633445762,2.56842610529373,0.417460816660055,4.71601221160849,3.49357826280663,3.21821478359731,0.0967684482760078,2.98815013379615,2.0914590401282,4.66595122541746,0.572523511552964,2.83597801115995,4.341818468426,0.95541193364295,2.03507282167302,0.800424556063459,4.97997201305689,7.3026323679442,8.11706421866649,4.98507219763904,9.08829117359563,2.97036908774706,0.556922796674579,5.55124035779964,2.8231007748854,8.5342604494788,2.2450792630217,9.58266876315745,0.809671171180928,1.84126642520873,7.78886036306528,2.18446812203474,7.8957944269915,10.3786435185139,1.46750973935669,10.1104160103875,5.85098886638409,8.84491670995272,8.35907393135853,1.91307894085279,9.87849315725614,5.39241926968826,1.53990380491616,15.8461009040856,2.26886469049124,5.53124679639183,7.54418033588761,2.78679528675381,16.2375243417625,6.91922858205618
"Barnsley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,1,0,2,3,5,1,4,7,13,16,10,21,15,14,13,15,33,26,14,9,12,2,13,23,16,19,25,25,21,33,28,13,12,18,16,29,23,14,34,22,16,25,19,29,32,36,29,36,26,34,35,13,31,16,14,13,25,32.1734542209907,16.189088599486,8.4929838837302,0.986541680133508,15.9325244107763,15.3069286289897,13.8267204151823,9.86056698745012,29.8656200966604,10.1676750885755,10.7132643227843,4.82100111522404,6.05947344555742,13.9156753180763,15.7042901219874,13.1465678818812,20.2704581285785,11.1944461676054,9.62565554978871,24.1738869801178,23.0836302042977,4.24073880983388,14.2923003553166,28.258819663431,20.8243363808845,10.1267945911099,14.7288822438858,11.892396748811,28.8053806667797,11.117974948105,10.3621433233396,10.7565920807745,23.4364582272283,16.9921264260546,27.9418190136522,15.0416478062145,16.2876593455161,10.6465300712387,36.7427894396819,7.76761388780725,12.178930330406,26.0043875571102,11.8236524681047,2.2971079524463,0.52880895970122,3.70256716938286,10.3345757252359,5.76917725578065,9.90708024064205,5.42206128166673,7.73018412583715,9.51520116086713,5.2427794969009,3.27416281564538,3.25982804383726,2.64162281753055,6.91193646548361,1.83966544352702,8.54486031049049,0.172138844497024,4.02607635012053,4.16223446954828,3.15877469984952,7.87835990970395,4.90609221712547,0.345759317548732,4.80413274852415,1.95091018999846,2.93248837849064,2.5963748074685,3.28881926232776,2.96052103425466,1.09204962173661,2.40255789321514,1.7567140161978,1.56333883555518,0.143437840699043,4.50435499088718,9.40291854392722,4.11512419322425,4.65467239552792,8.12359002081816,8.85986533308126,2.10014089850573,3.48657575422211,2.35767063680049,4.99571798936769,13.7618155051848,12.659706312044,14.8770483769867,6.87303897841923,1.05933889838206,3.07826341334004,0.789450260418991,1.97895205122501,7.25286808327617,1.15067593103252,2.23797323116263,0.621142178117986,1.74031562676244,6.13920009989681,1.34933022707462,1.2093605651469,0.105111161335557,6.19994344426841
